Date,reg_num,active_num
3/15/2019,30,20
3/16/2019,32,30
3/17/2019,50,42
3/18/2019,20,5
3/19/2019,200,85
3/20/2019,120,41
3/21/2019,70,39
3/22/2019,180,120
3/23/2019,65,61
3/24/2019,96,93
3/25/2019,148,128
3/26/2019,275,168
3/27/2019,130,58
3/28/2019,36,12
3/29/2019,156,88
3/30/2019,78,72
3/31/2019,0,0
4/1/2019,45,40
4/2/2019,156,136
4/3/2019,134,116
4/4/2019,89,84
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
